cluster_id,pred_area,ref_area,inside,bigger,iou,centroid_lon,centroid_lat
3,4803.247614561328,414273.7752619299,True,False,0.011594380096892237,835774.789189457,6646712.096600322
4,12052.536407603142,496339.0289410137,True,False,0.024282870588110645,639472.2671094682,5583216.40495722
4,11074.890178257983,496339.0289410137,True,False,0.022313155993167234,639226.9825886538,5583355.447992521
4,3715.8139024016828,496339.0289410137,True,False,0.00748644310790897,639059.2916083263,5583449.662958667
4,883.8181511904853,,False,False,0.0,640573.4997277916,5584525.95569124
5,1049.7892933647227,,False,False,0.0,654138.2511279902,5632632.532457552
8,3775.870872524794,,False,False,0.0,588673.4228533874,5364736.413064843
14,13611.216495659843,32399.997918686975,False,False,0.34781283297648546,613789.7757205646,5307512.151685745
14,1583.7239907041258,32400.000436122697,True,False,0.04888036942550268,614248.1994907885,5307714.7266667085
14,10563.12654659784,32399.99210449221,True,False,0.3043483593251411,614608.5791368036,5307904.668584235
15,5990.6063133719235,,False,False,0.0,600248.6655288272,5289176.550051508
15,24696.514156877918,90000.0189776156,False,False,0.2346094502871093,600992.2697852363,5290226.831879784
17,41456.560813890064,120000.01939929926,True,False,0.307205175335401,622184.5949065896,5301418.817469889
19,6891.499408645371,262597.9937499376,True,False,0.026243534119334853,652926.6162572947,5376389.960616384
21,34389.039714281396,,False,False,0.0,678240.9457564489,5403098.546024174
22,48030.82119714411,,False,False,0.0,636157.8783713196,5710949.039416325
24,10607.857412736743,,False,False,0.0,670318.6499780766,4962187.892224206
26,5893.553849187361,,False,False,0.0,682371.5544927462,5063117.908262178
26,17473.661749377497,80000.00299522627,True,False,0.2184207636894736,682485.1208416127,5063784.1039908985
27,20397.735767258182,79999.99679170747,True,False,0.2394308810984701,662090.0547548189,5037664.059300679
28,2999.936898384723,,False,False,0.0,609001.2045053414,5275160.338389274
28,44918.56852903829,160000.0,True,False,0.2580179973848797,608432.9996952111,5275635.2628047215
29,22573.199739785476,101499.99439748615,True,False,0.22239606882524646,638334.3905780719,5369441.275067898
30,1143.8357280770151,,False,False,0.0,664650.8262945043,5891784.688589408
40,1286.89642757335,,False,False,0.0,689038.0062545337,5398374.956317849
41,10129.715203788544,563226.753975959,True,False,0.017985145649208504,682020.1747183878,5249467.673450547
41,1758.7088997156854,563226.753975959,True,False,0.0031225592308968247,682124.3307085424,5249576.405520971
42,775.2578098046631,,False,False,0.0,641032.7352495326,5313695.973693702
43,32412.86760264944,104999.99612307872,True,False,0.265341398631045,621128.1991104574,5293397.328213633
43,33352.92635010646,104999.99612307872,True,False,0.2995967049043258,621289.7965137473,5293398.229162697
43,2284.1350105998094,987054.1667195241,True,False,0.0023140928711046704,621692.8524555697,5294176.79444696
48,1272.6288380908854,,False,False,0.0,621916.1459795715,5362677.121402522
53,5399.003757921293,57199.99844242689,True,False,0.09438818015625501,711923.990412008,5344717.743450784
58,10388.911374100135,144755.76313447874,False,False,0.050372548243152564,627521.7448864218,5312039.473670546
59,781.1267211019745,,False,False,0.0,658558.039204623,5366362.915210896
59,16146.630310362285,58464.023900182685,False,False,0.25149961755818795,658364.5016751316,5367886.0445056325
61,6466.344933231035,,False,False,0.0,990798.1793273387,7931521.792140127
62,14973.222309065874,,False,False,0.0,990088.8729501512,7941530.570098359
65,5261.471059035677,,False,False,0.0,992123.7626318593,7946348.420643815
68,3176.0662223696972,,False,False,0.0,621161.5379889614,5575543.565773657
69,4995.963555846743,37500.0,True,False,0.13322569482257982,642510.0264584264,5580239.321402173
75,986.1623794211687,,False,False,0.0,538936.7840772227,4915708.322246342
75,36333.72428160206,193817.96095032198,False,False,0.15534835490313012,539599.8173637402,4916299.624520711
81,29287.359345498717,60000.0,True,False,0.4578104669576709,563294.2102087149,4943004.990951733
83,9732.004914054449,,False,False,0.0,559794.6983417878,4972056.681145342
89,26938.240616263014,44999.98988755123,False,False,0.4425556372763125,588280.4487210629,4940988.9590583425
90,32182.633017316013,45000.0,True,False,0.7046255937250891,589082.7300715898,4946524.433743796
91,1530.8468925742889,,False,False,0.0,585472.4582511255,4937257.436657549
91,24216.805848900323,44999.98798342532,True,False,0.5271280056994443,585664.3439539802,4937351.489276585
97,24774.634606425258,59999.98290536904,True,False,0.40012825884936193,546399.7671061796,4922768.165415182
100,23064.415164342558,89999.99251721893,True,False,0.2560685404252242,572948.5390286543,4972970.133792506
103,30446.91549989745,120000.01515009164,True,False,0.24602820921889898,566850.7736087664,4985139.357803932
105,40481.372020163755,120000.0,True,False,0.3371931777071192,569998.8739446737,4959429.549998128
106,19030.926516137723,15000.0,False,True,0.7111408692270298,581230.0983140701,4957458.538599355
107,3058.1552647830563,,False,False,0.0,568230.717078844,4957850.071492658
107,3581.527118448661,,False,False,0.0,568155.7161830682,4958632.003129846
109,19086.472606327134,15000.0,True,True,0.7834495843136254,578625.82675146,4958416.312421179
114,5035.1682549636525,,False,False,0.0,559787.7267435911,4972057.325898586
115,33444.178057567,80000.00246860707,True,False,0.4163905365682182,555420.7689526549,4970116.090561198
117,4234.901496513354,,False,False,0.0,568011.5820656661,4965521.092459954
118,33197.29410030564,71965.0,False,False,0.3520768329638906,587828.1009293768,4953551.60412001
118,10923.733549193446,,False,False,0.0,588508.299498076,4954280.67271544
119,30017.333899825197,30000.0,False,True,0.7338767832141562,566252.8893947547,4953396.524237753
119,1680.2917440507722,,False,False,0.0,565861.4271873949,4954039.914830742
120,32214.055598948118,130841.90089973746,True,False,0.2462059583163146,562143.5989836025,4962760.0445832
126,30907.70969691918,78702.01624990944,True,False,0.381931701689946,617755.0134061225,4962843.147861843
128,21530.9649574828,100000.0,True,False,0.2112340775681661,618418.8700870977,5004308.891321773
130,7924.083878561318,,False,False,0.0,622833.4902412144,5014948.342021077
130,8968.568953913209,,False,False,0.0,622975.2188887162,5016519.38756213
131,1931.7459968160601,,False,False,0.0,618309.4690364094,5017998.157934716
131,35212.85664658958,54001.22684994177,True,False,0.6038302705782771,618819.0104022893,5018018.782805966
132,1029.912753568182,,False,False,0.0,618649.1355872713,4979795.702276372
134,724.4403948274546,,False,False,0.0,619994.0766150828,4981298.569152431
